",",010101,Amazonas Chachapoyas Chachapoyas
",",010103,Amazonas Chachapoyas Balsas
",",010104,Amazonas Chachapoyas Cheto
",",010105,Amazonas Chachapoyas Chiliquín 
",",010106,Amazonas Chachapoyas Chuquibamba
",",010107,Amazonas Chachapoyas Granada
",",010109,Amazonas Chachapoyas La Jalca
",",010110,Amazonas Chachapoyas Leimebamba
",",010111,Amazonas Chachapoyas Levanto
",",010112,Amazonas Chachapoyas Magdalena
",",010113,Amazonas Chachapoyas Mariscal Castilla
",",010114,Amazonas Chachapoyas Molinopampa
",",010115,Amazonas Chachapoyas Montevideo
",",010119,Amazonas Chachapoyas San Isidro de Maino
",",010201,Amazonas Bagua Bagua
",",010202,Amazonas Bagua Aramango
",",010203,Amazonas Bagua Copallin
",",010204,Amazonas Bagua El Parco
",",010205,Amazonas Bagua Imaza
",",010206,Amazonas Bagua La Peca
",",010301,Amazonas Bongará Jumbilla
",",010302,Amazonas Bongará Chisquilla
",",010304,Amazonas Bongará Corosha
",",010305,Amazonas Bongará Cuispes
",",010306,Amazonas Bongará Florida
",",010307,Amazonas Bongará Jazán
",",010308,Amazonas Bongará Recta
",",010310,Amazonas Bongará Shipasbamba
",",010312,Amazonas Bongará Yambrasbamba
",",010401,Amazonas Condorcanqui Nieva
",",010402,Amazonas Condorcanqui El Cenepa
",",010403,Amazonas Condorcanqui Río Santiago
",",010502,Amazonas Luya Camporredondo
",",010503,Amazonas Luya Cocabamba
",",010504,Amazonas Luya Colcamar
",",010505,Amazonas Luya Conila
",",010507,Amazonas Luya Longuita
",",010509,Amazonas Luya Luya
",",010510,Amazonas Luya Luya Viejo
",",010511,Amazonas Luya María
",",010512,Amazonas Luya Ocalli
",",010513,Amazonas Luya Ocumal
",",010514,Amazonas Luya Pisuquia
",",010515,Amazonas Luya Providencia
",",010516,Amazonas Luya San Cristóbal
",",010518,Amazonas Luya San Jerónimo
",",010520,Amazonas Luya Santa Catalina
",",010521,Amazonas Luya Santo Tomás
",",010522,Amazonas Luya Tingo
",",010523,Amazonas Luya Trita
",",010602,Amazonas Rodríguez de Mendoza Chirimoto
",",010605,Amazonas Rodríguez de Mendoza Limabamba
",",010607,Amazonas Rodríguez de Mendoza Mariscal Benavides
",",010609,Amazonas Rodríguez de Mendoza Omia
",",010612,Amazonas Rodríguez de Mendoza Vista Alegre
",",010701,Amazonas Uctubamba Bagua grande
",",010702,Amazonas Uctubamba Cajaruro
",",010703,Amazonas Uctubamba Cumba
",",010704,Amazonas Uctubamba El Milagro
",",010705,Amazonas Uctubamba Jamalca
",",010706,Amazonas Uctubamba Lonya Grande
",",010707,Amazonas Uctubamba Yamón
",",020101,Áncash Huaraz Huaraz
",",020102,Áncash Huaraz Cochabamba
",",020104,Áncash Huaraz Huanchay
",",020105,Áncash Huaraz Independencia
",",020106,Áncash Huaraz Jangas
",",020107,Áncash Huaraz La Libertad
",",020108,Áncash Huaraz Olleros
",",020110,Áncash Huaraz Pariacoto
",",020111,Áncash Huaraz Pira
",",020112,Áncash Huaraz Tarica
",",020201,Áncash Aija Aija
",",020202,Áncash Aija Coris
",",020203,Áncash Aija Huacllán
",",020204,Áncash Aija La Merced
",",020205,Áncash Aija Succha
",",020301,Áncash Antonio Raymondi Llamellín
",",020302,Áncash Antonio Raymondi Aczo
",",020303,Áncash Antonio Raymondi Chaccho
",",020304,Áncash Antonio Raymondi Chingas
",",020305,Áncash Antonio Raymondi Mirgas
",",020306,Áncash Antonio Raymondi San Juan de Rontoy
",",020401,Áncash Asunción Chacas
",",020402,Áncash Asunción Acochaca
",",020501,Áncash Bolognesi Chiquián
",",020502,Áncash Bolognesi Abelardo Pardo Lezameta
",",020503,Áncash Bolognesi Antonio Raymondi
",",020504,Áncash Bolognesi Aquia
",",020505,Áncash Bolognesi Cajacay
",",020507,Áncash Bolognesi Colquioc
",",020508,Áncash Bolognesi Huallanca
",",020509,Áncash Bolognesi Huasta
",",020511,Áncash Bolognesi La Primavera
",",020513,Áncash Bolognesi Pacllón
",",020601,Áncash Carhuaz Carhuaz
",",020602,Áncash Carhuaz Acopampa
",",020603,Áncash Carhuaz Amashca
",",020604,Áncash Carhuaz Anta
